Sample_ID,extraction_ID,pcr_replicate,project,alt_ID,tank_ID,station_ID,sample_type,extraction_plate,extraction_well,DNA_conc,MiSeq_run,collection_year,collection_month,collection_day,location1,longitude,latitude,depth,time_of_day
e02192_B,e02192,B,aquaria,420,34,NA,sample,18_2023,B11,2.311,A,2023,2,1,NA,NA,NA,NA,NA
e02171_B,e02171,B,aquaria,452,T,NA,field_blank,18_2023,E8,0.754,A,2023,3,14,NA,NA,NA,NA,NA
e02173_B,e02173,B,aquaria,500,76,NA,sample,18_2023,F8,31.5,A,2023,3,14,NA,NA,NA,NA,NA
e02194_B,e02194,B,aquaria,181,34,NA,sample,18_2023,D11,3.761,A,2023,2,1,NA,NA,NA,NA,NA
e02175_B,e02175,B,aquaria,430,T,NA,field_blank,18_2023,H8,0.582,A,2023,3,8,NA,NA,NA,NA,NA
e02196_B,e02196,B,aquaria,NA,NA,NA,extraction_blank,18_2023,F11,0.212,A,NA,NA,NA,NA,NA,NA,NA,NA
e02177_B,e02177,B,aquaria,284,59,NA,sample,18_2023,B9,1.307,A,2023,3,8,NA,NA,NA,NA,NA
e02197_B,e02197,B,aquaria,366,7,NA,sample,18_2023,G11,13.484,A,2023,2,1,NA,NA,NA,NA,NA
e02190_B,e02190,B,aquaria,35,34,NA,sample,18_2023,H10,2.571,A,2023,2,1,NA,NA,NA,NA,NA
e02179_B,e02179,B,aquaria,NA,NA,NA,extraction_blank,18_2023,E9,0.215,A,NA,NA,NA,NA,NA,NA,NA,NA
e02180_B,e02180,B,aquaria,178,59,NA,sample,18_2023,F9,1.305,A,2023,3,8,NA,NA,NA,NA,NA
e02188_B,e02188,B,aquaria,443,7,NA,sample,18_2023,F10,9.239,A,2023,2,1,NA,NA,NA,NA,NA
e02182_B,e02182,B,aquaria,406,76,NA,sample,18_2023,H9,31.5,A,2023,3,14,NA,NA,NA,NA,NA
e02186_B,e02186,B,aquaria,199,7,NA,sample,18_2023,D10,7.481,A,2023,2,1,NA,NA,NA,NA,NA
e02184_B,e02184,B,aquaria,154,76,NA,sample,18_2023,B10,31.5,A,2023,3,14,NA,NA,NA,NA,NA
NC2_B,NC,B,aquaria,NA,NA,NA,PCR_blank,NA,F6,0.229,A,NA,NA,NA,NA,NA,NA,NA,NA
atlcod_B,atlcod,B,aquaria,NA,NA,NA,positive,NA,G6,0.235,A,NA,NA,NA,NA,NA,NA,NA,NA
safcod1_B,safcod1,B,aquaria,NA,NA,NA,positive,NA,H6,0.22,A,NA,NA,NA,NA,NA,NA,NA,NA
